time,mmsi,nav_status,sog,cog,rot,true_head,lon,lat,draught,dis,delta_time,phase
1667289159,357420000,0,17.6,2229,0,220,113.011398,21.152201,82,0.10657524,12,sea
1667289166,357420000,0,17.3,2210,0,218,113.011101,21.1518,82,0.054192543,7,sea
1667289178,357420000,0,17.4,2170,0,221,113.010399,21.1511,82,0.10657567,12,sea
1667289184,357420000,0,17.1,2241,0,219,113.010101,21.1507,82,0.054160353,6,sea
1667289189,357420000,0,17.5,2243,0,220,113.009697,21.1504,82,0.053554818,5,sea
1667289195,357420000,0,17.4,2185,0,220,113.009399,21.15,82,0.054160435,6,sea
1667289207,357420000,0,17.4,2203,0,219,113.008698,21.1493,82,0.10650545,12,sea
1667289219,357420000,0,17.1,2220,0,219,113.008003,21.1486,82,0.106081925,12,sea
1667289226,357420000,0,17.5,2228,0,220,113.007698,21.148199,82,0.054668754,7,sea
1667289231,357420000,0,17.3,2210,0,221,113.007301,21.1478,82,0.060526855,5,sea
1667289238,357420000,0,17.4,2236,0,219,113.007004,21.147499,82,0.045485333,7,sea
1667289244,357420000,0,17.5,2220,0,221,113.006599,21.1471,82,0.06109435,6,sea
1667289249,357420000,0,17.2,2234,0,220,113.006302,21.146799,82,0.045485333,5,sea
1667289262,357420000,0,17.2,2230,0,220,113.0056,21.146099,82,0.10657728,13,sea
1667289267,357420000,0,17.1,2185,0,219,113.005302,21.1457,82,0.054069582,5,sea
1667289274,357420000,0,17.4,2235,0,219,113.004799,21.1453,82,0.06855286,7,sea
1667289279,357420000,0,17.3,2207,0,219,113.004601,21.145,82,0.039171852,5,sea
1667289291,357420000,0,17.4,2227,0,219,113.003899,21.144199,82,0.11503608,12,sea
1667289298,357420000,0,17.4,2204,0,220,113.003502,21.1439,82,0.05292031,7,sea
1667289304,357420000,0,17.3,2198,0,220,113.003197,21.143499,82,0.05466925,6,sea
1667289309,357420000,0,17.4,2252,0,220,113.0028,21.1432,82,0.052920394,5,sea
1667289478,357420000,0,17.4,2238,0,219,112.993103,21.1329,82,1.5241972,169,sea
1667289483,357420000,0,17.4,2220,0,219,112.992798,21.132601,82,0.045891993,5,sea
1667289490,357420000,0,17.6,2226,0,219,112.992401,21.1322,82,0.06069303,7,sea
1667289495,357420000,0,17.6,2212,0,218,112.992203,21.131901,82,0.039078213,5,sea
1667289502,357420000,0,17.6,2221,0,218,112.991798,21.1315,82,0.061258983,7,sea
1667289508,357420000,0,17.5,2201,0,219,112.991402,21.1311,82,0.060541075,6,sea
1667289514,357420000,0,17.6,2198,0,220,112.990997,21.1306,82,0.06968197,6,sea
1667289519,357420000,0,17.7,2200,0,220,112.9907,21.130301,82,0.04532435,5,sea
1667289525,357420000,0,17.7,2216,0,221,112.990402,21.129999,82,0.045639724,6,sea
1667289537,357420000,0,17.6,2234,0,220,112.9897,21.129299,82,0.1065829,12,sea
1667289543,357420000,0,17.7,2214,0,221,112.989304,21.128901,82,0.06037829,6,sea
1667289550,357420000,0,17.5,2237,0,219,112.988998,21.1285,82,0.054731365,7,sea
1667289562,357420000,0,17.6,2210,0,219,112.988297,21.1278,82,0.106512606,12,sea
1667289568,357420000,0,17.5,2215,0,219,112.9879,21.127399,82,0.06069377,6,sea
1667289573,357420000,0,17.5,2229,0,219,112.987602,21.1271,82,0.045395184,5,sea
1667289579,357420000,0,17.5,2209,0,220,112.987198,21.126699,82,0.061188914,6,sea
1667289586,357420000,0,17.6,2222,0,220,112.9869,21.126301,82,0.05398083,7,sea
1667289598,357420000,0,17.6,2220,0,219,112.986198,21.125601,82,0.10658417,12,sea
1667289604,357420000,0,17.8,2233,0,219,112.985802,21.1252,82,0.06062394,6,sea
1667289609,357420000,0,17.7,2207,0,219,112.985497,21.124901,82,0.045892972,5,sea
1667289622,357420000,0,17.6,2219,0,220,112.985199,21.124599,82,0.045640513,13,sea
1667289639,357420000,0,17.8,2224,0,219,112.983704,21.122999,82,0.2360046,17,sea
1667289646,357420000,0,17.8,2213,0,220,112.983398,21.122601,82,0.054460634,7,sea
1667289652,357420000,0,17.7,2221,0,220,112.983002,21.122299,82,0.05305477,6,sea
1667289657,357420000,0,17.7,2229,0,220,112.982597,21.121799,82,0.069683455,5,sea
1667289667,357420000,0,17.7,2196,0,220,112.9823,21.1215,82,0.045325544,10,sea
1667289671,357420000,0,17.9,2240,0,220,112.981903,21.121201,82,0.052925248,4,sea
1667289795,357420000,0,17.3,2218,0,218,112.974503,21.113501,82,1.1498986,124,sea
1667289801,357420000,0,17.4,2201,0,219,112.974197,21.1131,82,0.054733176,6,sea
1667289824,357420000,0,17.5,2209,0,221,112.9729,21.1117,82,0.20575443,23,sea
1667289831,357420000,0,17.2,2224,0,220,112.972504,21.1113,82,0.060544796,7,sea
1667289843,357420000,0,17.3,2226,0,221,112.971802,21.1106,82,0.1065892,12,sea
1667289849,357420000,0,17.1,2201,0,218,112.971497,21.110201,82,0.054492317,6,sea
1667289860,357420000,0,17.3,2201,0,220,112.970901,21.1096,82,0.09104019,11,sea
1667289869,357420000,0,17.1,2221,0,219,112.970398,21.1092,82,0.06856252,9,sea
1667289874,357420000,0,17.4,2217,0,219,112.9701,21.108801,82,0.054074083,5,sea
1667289879,357420000,0,17.2,2225,0,220,112.969704,21.1085,82,0.05298754,5,sea
1667289886,357420000,0,17.2,2218,0,218,112.969398,21.108101,82,0.054552734,7,sea
1667289896,357420000,0,17.3,2216,0,220,112.968803,21.1075,82,0.09097027,10,sea
1667289903,357420000,0,17.1,2205,0,219,112.968399,21.1071,82,0.06111168,7,sea
1667289909,357420000,0,17.5,2244,0,220,112.968002,21.106701,82,0.0605346,6,sea
1667289916,357420000,0,17.3,2200,0,221,112.967697,21.1063,82,0.054673947,7,sea
1667289923,357420000,0,17.3,2250,0,219,112.967201,21.105801,82,0.07567111,7,sea
1667289927,357420000,0,17.5,2243,0,220,112.967003,21.1056,82,0.03035468,4,sea
1667289933,357420000,0,17.3,2196,0,220,112.966599,21.1052,82,0.061111975,6,sea
1667289940,357420000,0,17.4,2238,0,220,112.966301,21.1049,82,0.045479883,7,sea
1667289946,357420000,0,17.6,2220,0,220,112.965897,21.1045,82,0.0611122,6,sea
1667289952,357420000,0,17.4,2208,0,220,112.965599,21.104099,82,0.054257195,6,sea
1667289957,357420000,0,17.3,2231,0,220,112.965202,21.1038,82,0.05292891,5,sea
1667289963,357420000,0,17.6,2214,0,219,112.964897,21.1035,82,0.045976754,6,sea
1667289969,357420000,0,17.4,2217,0,220,112.9645,21.103001,82,0.06910016,6,sea
1667289976,357420000,0,17.4,2207,0,219,112.964203,21.102699,82,0.04557352,7,sea
1667289981,357420000,0,17.7,2210,0,219,112.963898,21.102301,82,0.054402765,5,sea
1667289988,357420000,0,17.6,2196,0,221,112.963501,21.1019,82,0.060698673,7,sea
1667290000,357420000,0,17.9,2228,0,220,112.962799,21.1012,82,0.10659233,12,sea
1667290006,357420000,0,17.6,2199,0,220,112.962502,21.1008,82,0.05410716,6,sea
1667290016,357420000,0,17.8,2247,0,218,112.9618,21.100201,82,0.09869055,10,sea
1667290025,357420000,0,17.6,2200,0,222,112.961304,21.0996,82,0.08434225,9,sea
1667290029,357420000,0,17.4,2242,0,220,112.960999,21.0994,82,0.038674477,4,sea
1667290605,357420000,0,17,2210,0,0,112.926697,21.063299,82,5.364716,576,sea
1667290790,357420000,0,16,2230,0,0,112.916702,21.053301,82,1.5204142,185,sea
1667291322,357420000,0,18,2210,0,0,112.885002,21.02,0,4.9533105,532,sea
1667293294,357420000,0,18.1,2225,0,223,112.767998,20.900299,82,18.021296,1972,sea
1667293486,357420000,0,18,2230,0,224,112.756104,20.888901,82,1.7700173,192,sea
1667293638,357420000,0,18.2,2231,0,224,112.746803,20.879999,82,1.383297,152,sea
1667293655,357420000,0,18,2224,0,224,112.745598,20.878799,82,0.18296854,17,sea
1667294023,357420000,0,18,2230,0,0,112.721703,20.856701,82,3.4930873,368,sea
1667294203,357420000,0,17,2240,0,0,112.7117,20.844999,82,1.6654031,180,sea
1667294741,357420000,0,17,2230,0,0,112.678299,20.813299,82,4.947188,538,sea
1667297083,357420000,0,17,2280,0,0,112.533302,20.678301,82,21.275936,2342,sea
1667298169,357420000,0,17,2220,0,0,112.466698,20.618299,82,9.619949,1086,sea
1667299780,357420000,0,18,2280,0,0,112.368301,20.525,82,14.579385,1611,sea
1667303575,357420000,0,17,2220,0,0,112.143303,20.301701,82,34.15113,3795,sea
1667306083,357420000,0,17,2180,0,0,111.998299,20.1483,82,22.800423,2508,sea
1667306263,357420000,0,17,2190,0,0,111.988297,20.1383,82,1.5253434,180,sea
1667307523,357420000,0,17,2170,0,0,111.9217,20.0583,82,11.2913265,1260,sea
1667309140,357420000,0,17,2190,0,0,111.8367,19.956699,0,14.370416,1617,sea
1667309325,357420000,0,17,2184,0,216,111.827103,19.9457,0,1.5817732,185,sea
1667312673,357420000,0,17.5,1959,0,194,111.652603,19.7276,82,30.352654,3348,sea
1667312718,357420000,0,17.6,1995,0,194,111.651604,19.7241,0,0.402985,45,sea
